ethaddress,seeds
0x069e85D4F1010DD961897dC8C095FBB5FF297434,1.8088
0xceBd2Dd19c911761674BC2344DceD8EC8148D19f,37.7467
0xb5eb4f91b531b9566C32FDFC23B28e81Bd0314a7,0.0073
0x4660a5C239D732F4910062D0D44747a7613E4f00,13.6448
0x0B0eFad4aE088a88fFDC50BCe5Fb63c6936b9220,0.1621
0xced20757aEaB2d2C8825a5CE47Fa52edA1410dC5,0.4258
0x6ED7F81208839E31E11840049201201C469a7A56,0.2597
0x317ee88F1b78182c4514371bcBf1488b176FCC5A,0.0000
0xCb5Fba4419ABC4D7C11af0C24BA0F2e555407F5b,9.5081
0x85a363699c6864248a6ffca66e4a1a5ccf9f5567,3.1051
0x5ea7ea516720a8f59c9d245e2e98bca0b6df7441,23.7892
0xA68E0b444E7F5242e48Cea2447FcE03Cb7B8AD16,53.4764
0x4052336e4B1a6F05d15a90E8ce8A0A4C4D512243,11.4912
0x59F68354aD2d495d7C349C63cc80EC2683ab8b22,1.3060
0x4B037687c1C5159285A7DefAD3681f8e123D2478,5.0822
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,2.1353
0x79b92357bB57a449394A877bA673BdC00194E274,0.3452
0x8760E565273B47195F76A22455Ce0B68A11aF5B5,28.9410
0xAB5b57832498a2B541AAA2c448e2E79d872564E0,9.6722
0xce3696f3b57db19e5ebe014aa2d5636e87f9f22d,13.0857
0x3e4B249281B4F25439Be64B42Fd65F952E0bfD04,3.2489
0x4146A7157Df361A3e82f23811ed56056383555c7,17.1155
0x20EFCd9B9ADe8bd586f840c83A6d8dd8C1D6623B,13.7435
0x5202E694e9Fc9B097549619236f5EE3d059a4e95,9.7576
0x8C4Cc36bC8F304F41a5aB18f773CFc4Fd6DBa2ed,1.1095
0x164bA6d1E6DD5F937908C34137D271ea3852C214,3.0857
0x2920620b47d51170319a531a2d6d5810610e8c2a,1.9575
0x1e9c89aFf77215F3AD26bFfe0C50d4FdEBa6a352,47.0010
0x2420be5214E8C83F04F0EF1772254355e2249283,64.7322
0x8652cb640F8A146bA470972B1cfFEE34E965B847,0.0096
0x7b39AFdB75Fd542BD7104cDea462f9773A63855D,6.7773
0x7Eb97437FDFa3e42C13eB36f2D61E2D12Fd3aB02,35.0362
0xeE03446E9654697685E82BcafeE1e3cB0Aa6f315,8.4194
0x0be0ecc301a1c0175f07a66243cff628c24db852,1.9391
0x9eEC0B5Bd8A48047f0Dcc61E98B4b92951480F98,3.1932
0x152ad2E12E102aBF64280C5e3d70257EFfb0EDe0,23.7436
0x8e4Bdd156e4dD802dd919F4FD2645681CE99a538,63.7497
0xD5823AB44Db9a0659027f0FEA428534B9C13015B,71.2862
0x9Eee6B4683340EfDF05589466e24f69C017BF64e,3.8072
0x36de990133D36d7E3DF9a820aA3eDE5a2320De71,0.9367
0x436Bb9e1f02C9cA7164afb5753C03c071430216d,3.3228
0x3D02E6aE6ABBeb2f135Ef676734d1ae2BCe75c17,4.6289
0x6Bc842966e4dE1733644905f8F0b10Ad4AA0C000,42.6249
0x986e92868A27548a31e88f7692E746CD7E86f39a,7.3581
0x2a87C1345024ab463ACC26417124C433b3069fdD,8.2955
0x48A63097E1Ac123b1f5A8bbfFafA4afa8192FaB0,2.9418
0x091fCbB9186f392610740038Ea5b8007fE7674e4,1.0932
0xe3fD0c0704A7002056eA10332825CB72094495A8,38.3549
0xA82BcD1BA56b4BB0f46Bc29dA53413c73Be27509,13.2864
0xC316319950bf01E18748Ed807c05cBe64d48DA6b,35.5075
0x98753E5f9Cd76B46cbD95Bf16D166FAeE1a7720B,39.9568
0xA54017a082492740BbC99168A512abcC2C3e3ac7,29.0976
0xaD7E79A81296aCFdBE8C41804f8348908C23EaBE,31.4646
0xDC546f477f273bCF327297bf4ADCB671b5f20BE1,20.3564
0x59171b87817C5F07157066Bd5284707A711229B3,5.5941
0xe871C29AD43856fcaC45492AF664858999Bc7fDd,2.7476
0x62Ff40ca6899b6DdF0129e8f88319afD0F85f23F,2.1099
0xbCa02EDeBb39e215d1896a11A5c9BFB0e6A22795,8.3187
0xf97664376416E9379f2354DB444BFE3f00B6936b,0.0000
0xB8B952820735F500bF39198B31311FA54Bc7be11,0.0000
0x7783Bf3728513Fef0353e5fEa79E48e6EE7ca221,2.8032
0xB232b2B6129Bf05454A197C985d3e587D70F40de,0.9652
0x4c1546B2D87eCE5Be3429df8d5F7987CE3C2fD45,4.4212
0x7b5f48e540a08dDE521A663D887F88F77e3b5387,0.0013
0x59B917a9e10ECe44faE8b651F8C351ef2647dccA,105.1691
0xdab19c416355783011724a9c0e4e1e98c648214f,58.8300
